participantId,device,datasetId,pauseTime,sortingTime,time,experimentOrder,nbTrue,trueProp,maxTrueStreak,maxTrueStreakBoth,maxFalseStreakBoth,veracityScore,levenDist
25,VR,1,95.8652114868164,264.06793212890625,2022-05-02 15:40:35,4,3,0.42857142857142855,1,1,2,0.3877551020408163,5
24,Comp,2,3.666616201400757,130.8148651123047,2022-05-02 16:51:34,1,2,0.2857142857142857,1,1,1,0.22448979591836735,7
24,Comp,1,2.183298826217652,106.06684112548828,2022-05-02 16:56:49,2,4,0.5714285714285714,1,1,1,0.4897959183673469,6
24,VR,1,10.107111930847168,189.7192840576172,2022-05-02 17:20:07,3,3,0.42857142857142855,1,1,2,0.30612244897959184,7
24,VR,2,5.2979912757873535,173.2998046875,2022-05-02 17:26:31,4,3,0.42857142857142855,1,1,1,0.2653061224489796,7
15,VR,1,61.7606201171875,104.24300384521484,2022-05-02 18:10:06,1,1,0.14285714285714285,1,1,1,0.12244897959183673,7
15,VR,2,2.55519700050354,114.94115447998048,2022-05-02 18:15:28,2,4,0.5714285714285714,1,2,1,0.3673469387755102,6
15,Comp,2,9.416518211364746,210.85543823242188,2022-05-02 18:29:12,3,4,0.5714285714285714,1,1,1,0.32653061224489793,7
15,Comp,1,6.01655912399292,131.94808959960938,2022-05-02 18:34:39,4,4,0.5714285714285714,1,1,1,0.3469387755102041,7
16,Comp,1,6.350021839141846,250.44374084472656,2022-04-27 13:11:44,1,5,0.7142857142857143,1,2,1,0.5918367346938775,6
16,Comp,2,122.7017822265625,260.2438049316406,2022-04-27 13:22:12,2,2,0.2857142857142857,1,1,1,0.20408163265306123,7
13,Comp,2,97.46904754638672,190.4547119140625,2022-04-27 15:27:57,4,3,0.42857142857142855,1,1,1,0.2857142857142857,7
